date,close
2021-02-02,1092.7
2021-02-03,1111.6
2021-02-04,1100.1
2021-02-05,1130.3
2021-02-08,1172.4
2021-02-09,1191.4
2021-02-10,1244.2
2021-02-11,1244.4
2021-02-12,1256.4
2021-02-16,1277.0
2021-02-17,1255.3
2021-02-18,1272.4
2021-02-19,1290.6
2021-02-22,1280.0
2021-02-23,1237.4
2021-02-24,1255.6
2021-02-25,1229.7
2021-02-26,1183.5
2021-03-01,1189.6
2021-03-02,1212.7
2021-03-03,1180.4
2021-03-04,1134.2
2021-03-05,1127.1
2021-03-08,1151.1
2021-03-09,1174.2
2021-03-10,1200.6
2021-03-11,1201.1
2021-03-12,1199.1
2021-03-15,1208.3
2021-03-16,1217.9
2021-03-17,1198.1
2021-03-18,1216.2
2021-03-19,1198.9
2021-03-22,1182.8
2021-03-23,1173.8
2021-03-24,1179.6
2021-03-25,1153.7
2021-03-26,1177.5
2021-03-29,1181.3
2021-03-30,1157.7
2021-03-31,1188.5
2021-04-01,1206.2
2021-04-05,1207.0
2021-04-06,1237.8
2021-04-07,1229.3
2021-04-08,1233.3
2021-04-09,1207.3
2021-04-12,1172.2
2021-04-13,1155.0
2021-04-14,1175.2
2021-04-15,1197.8
2021-04-16,1206.2
2021-04-19,1204.0
2021-04-20,1193.8
2021-04-21,1212.2
2021-04-22,1206.0
2021-04-23,1230.5
2021-04-26,1242.6
2021-04-27,1246.9
2021-04-28,1209.4
2021-04-29,1195.1
2021-04-30,1203.0
2021-05-01,1180.8
2021-05-03,1227.9
2021-05-04,1229.6
2021-05-05,1226.6
2021-05-06,1255.5
2021-05-07,1252.3
2021-05-10,1263.0
2021-05-11,1238.7
2021-05-12,1223.5
2021-05-13,1204.6
2021-05-14,1220.8
2021-05-17,1242.5
2021-05-18,1223.4
2021-05-19,1199.8
2021-05-20,1203.2
2021-05-21,1167.8
2021-05-24,1175.8
2021-05-25,1195.1
2021-05-26,1198.4
2021-05-27,1177.4
2021-05-28,1180.8
2021-06-01,1198.4
2021-06-02,1191.4
2021-06-03,1161.3
2021-06-04,1163.2
2021-06-07,1173.6
2021-06-08,1161.6
2021-06-09,1150.6
2021-06-10,1144.8
2021-06-11,1149.9
2021-06-14,1164.1
2021-06-15,1147.6
2021-06-16,1141.0
2021-06-17,1054.3
2021-06-18,1040.1
2021-06-21,1049.7
2021-06-22,1069.3
2021-06-23,1085.7
2021-06-24,1093.1
2021-06-25,1102.8
2021-06-28,1096.9
2021-06-29,1067.5
2021-06-30,1070.5
2021-07-01,1078.4
2021-07-02,1085.4
2021-07-06,1081.9
2021-07-07,1080.2
2021-07-08,1073.2
2021-07-09,1094.4
2021-07-12,1121.7
2021-07-13,1109.8
2021-07-14,1126.5
2021-07-15,1136.0
2021-07-16,1107.0
2021-07-19,1069.3
2021-07-20,1064.3
2021-07-21,1073.6
2021-07-22,1088.8
2021-07-23,1059.6
2021-07-26,1068.7
2021-07-27,1047.8
2021-07-28,1056.1
2021-07-29,1065.5
2021-07-30,1046.9
2021-08-02,1054.9
2021-08-03,1045.8
2021-08-04,1020.4
2021-08-05,1005.5
2021-08-06,972.3
2021-08-09,970.9
2021-08-10,987.2
2021-08-11,1015.5
2021-08-12,1017.3
2021-08-13,1025.5
2021-08-16,1020.5
2021-08-17,993.4
2021-08-18,995.8
2021-08-19,970.6
2021-08-20,993.5
2021-08-23,1013.4
2021-08-24,1009.4
2021-08-25,992.8
2021-08-26,975.0
2021-08-27,1005.8
2021-08-30,1001.9
2021-08-31,1013.9
2021-09-01,1000.0
2021-09-02,993.9
2021-09-03,1021.2
2021-09-07,995.4
2021-09-08,975.3
2021-09-09,973.8
2021-09-10,956.7
2021-09-13,957.7
2021-09-14,939.1
2021-09-15,932.4
2021-09-16,925.2
2021-09-17,932.5
2021-09-20,900.8
2021-09-21,951.9
2021-09-22,1001.3
2021-09-23,997.2
2021-09-24,980.9
2021-09-27,982.6
2021-09-28,960.6
2021-09-29,944.3
2021-09-30,960.9
2021-10-01,972.1
2021-10-04,960.2
2021-10-05,959.0
2021-10-06,975.8
2021-10-07,983.9
2021-10-08,1026.6
2021-10-11,1004.9
2021-10-12,1009.7
2021-10-13,1022.3
2021-10-14,1050.5
2021-10-15,1056.7
2021-10-18,1035.9
2021-10-19,1044.6
2021-10-20,1050.2
2021-10-21,1047.7
2021-10-22,1050.2
2021-10-25,1062.2
2021-10-26,1032.2
2021-10-27,1018.4
2021-10-28,1022.7
2021-10-29,1019.6
2021-11-01,1066.3
2021-11-02,1038.2
2021-11-03,1021.3
2021-11-04,1028.2
2021-11-05,1034.7
2021-11-08,1058.9
2021-11-09,1060.2
2021-11-10,1075.8
2021-11-11,1093.3
2021-11-12,1088.1
2021-11-15,1095.8
2021-11-16,1073.0
2021-11-17,1067.7
2021-11-18,1055.0
2021-11-19,1034.6
2021-11-22,1014.0
2021-11-23,963.1
2021-11-24,974.3
2021-11-26,953.4
2021-11-29,963.6
2021-11-30,926.6
2021-12-01,934.5
2021-12-02,932.4
2021-12-03,925.5
2021-12-06,935.9
2021-12-07,949.3
2021-12-08,955.2
2021-12-09,937.3
2021-12-10,933.8
2021-12-13,924.1
2021-12-14,910.3
2021-12-15,893.6
2021-12-16,928.3
2021-12-17,933.9
2021-12-20,926.2
2021-12-21,927.5
2021-12-22,968.1
2021-12-23,974.6
2021-12-27,968.9
2021-12-28,979.1
2021-12-29,968.2
2021-12-30,963.6
2021-12-31,964.4
2022-01-01,1019.2
2022-01-03,953.7
2022-01-04,970.4
2022-01-05,1001.9
2022-01-06,960.6
2022-01-07,957.0
2022-01-10,934.4
2022-01-11,973.8
2022-01-12,979.9
2022-01-13,971.9
2022-01-14,964.4
2022-01-18,979.3
2022-01-19,1028.2
2022-01-20,1050.6
2022-01-21,1034.7
2022-01-24,1019.9
2022-01-25,1023.8
2022-01-26,1046.1
2022-01-27,1021.7
2022-01-28,1004.9
2022-01-31,1019.2
2022-02-01,1021.8
2022-02-02,1042.3
2022-02-03,1028.9
2022-02-04,1022.8
2022-02-07,1018.9
2022-02-08,1035.2
2022-02-09,1036.0
2022-02-10,1041.1
2022-02-11,1017.3
2022-02-14,1026.6
2022-02-15,1019.0
2022-02-16,1062.2
2022-02-17,1091.2
2022-02-18,1075.3
2022-02-22,1084.5
2022-02-23,1090.1
2022-02-24,1060.4
2022-02-25,1048.9
2022-02-28,1037.8
2022-03-01,1051.1
2022-03-02,1067.6
2022-03-03,1080.1
2022-03-04,1116.1
2022-03-07,1115.9
2022-03-08,1152.5
2022-03-09,1106.7
2022-03-10,1094.4
2022-03-11,1087.8
2022-03-14,1051.5
2022-03-15,1001.8
2022-03-16,1007.4
2022-03-17,1030.6
2022-03-18,1035.2
2022-03-21,1044.4
2022-03-22,1024.8
2022-03-23,1020.7
2022-03-24,1030.5
2022-03-25,1007.8
2022-03-28,990.4
2022-03-29,972.3
2022-03-30,996.8
2022-03-31,992.5
2022-04-01,985.0
2022-04-04,986.5
2022-04-05,969.4
2022-04-06,950.1
2022-04-07,954.9
2022-04-08,972.2
2022-04-11,973.9
2022-04-12,969.0
2022-04-13,985.2
2022-04-14,989.6
2022-04-18,1015.4
2022-04-19,984.4
2022-04-20,982.8
2022-04-21,965.3
2022-04-22,925.1
2022-04-25,902.3
2022-04-26,911.9
2022-04-27,910.1
2022-04-28,910.4
2022-04-29,937.6
2022-05-02,930.6
2022-05-03,956.5
2022-05-04,978.2
2022-05-05,971.8
2022-05-06,954.6
2022-05-09,938.5
2022-05-10,953.5
2022-05-11,995.7
2022-05-12,936.9
2022-05-13,936.4
2022-05-16,929.0
2022-05-17,947.1
2022-05-18,927.9
2022-05-19,957.5
2022-05-20,946.2
2022-05-23,955.5
2022-05-24,946.8
2022-05-25,933.4
2022-05-26,941.5
2022-05-27,945.5
2022-05-31,969.3
2022-06-01,997.2
2022-06-02,1029.2
2022-06-03,1017.2
2022-06-06,1030.8
2022-06-07,1013.7
2022-06-08,1012.4
2022-06-09,976.7
2022-06-10,971.8
2022-06-13,933.1
2022-06-14,911.5
2022-06-15,925.4
2022-06-16,951.9
2022-06-17,931.0
2022-06-21,940.0
2022-06-22,927.4
2022-06-23,904.9
2022-06-24,904.5
2022-06-27,904.9
2022-06-28,910.6
2022-06-29,910.8
2022-06-30,898.4
2022-07-01,875.4
2022-07-05,856.8
2022-07-06,847.8
2022-07-07,876.4
2022-07-08,894.0
2022-07-11,872.2
2022-07-12,839.7
2022-07-13,849.9
2022-07-14,830.6
2022-07-15,844.2
2022-07-18,864.8
2022-07-19,867.6
2022-07-20,851.5
2022-07-21,857.1
2022-07-22,861.2
2022-07-25,864.3
2022-07-26,859.1
2022-07-27,871.8
2022-07-28,871.9
2022-07-29,884.9
2022-08-01,896.7
2022-08-02,900.1
2022-08-03,885.6
2022-08-04,922.4
2022-08-05,921.9
2022-08-08,937.3
2022-08-09,931.9
2022-08-10,945.0
2022-08-11,958.3
2022-08-12,958.3
2022-08-15,932.5
2022-08-16,929.9
2022-08-17,918.0
2022-08-18,903.6
2022-08-19,886.9
2022-08-22,866.9
2022-08-23,875.3
2022-08-24,866.3
2022-08-25,873.3
2022-08-26,854.6
2022-08-29,853.5
2022-08-30,830.6
2022-08-31,826.4
2022-09-01,804.0
2022-09-02,817.1
2022-09-06,832.7
2022-09-07,846.0
2022-09-08,865.2
2022-09-09,876.0
2022-09-12,903.3
2022-09-13,882.8
2022-09-14,904.5
2022-09-15,905.0
2022-09-16,900.5
2022-09-19,918.0
2022-09-20,922.0
2022-09-21,915.9
2022-09-22,905.8
2022-09-23,858.5
2022-09-26,849.9
2022-09-27,847.9
2022-09-28,871.1
2022-09-29,871.3
2022-09-30,870.0
2022-10-01,939.4
2022-10-03,911.3
2022-10-04,943.7
2022-10-05,924.6
2022-10-06,931.7
2022-10-07,929.2
2022-10-10,906.2
2022-10-11,909.5
2022-10-12,891.4
2022-10-13,906.8
2022-10-14,905.3
2022-10-17,924.0
2022-10-18,917.7
2022-10-19,891.5
2022-10-20,930.1
2022-10-21,954.6
2022-10-24,947.3
2022-10-25,939.7
2022-10-26,982.5
2022-10-27,987.4
2022-10-28,958.4
2022-10-31,939.4
