date,close
1980-12-01,16.46
1981-01-01,14.79
1981-02-01,13.06
1981-03-01,12.34
1981-04-01,11.47
1981-05-01,10.85
1981-06-01,10.0
1981-07-01,8.58
1981-08-01,8.92
1981-09-01,10.05
1981-10-01,9.23
1981-11-01,8.54
1981-12-01,8.45
1982-01-01,7.99
1982-02-01,8.28
1982-03-01,7.23
1982-04-01,7.31
1982-05-01,6.68
1982-06-01,5.56
1982-07-01,6.46
1982-08-01,7.11
1982-09-01,8.78
1982-10-01,9.39
1982-11-01,9.79
1982-12-01,10.57
1983-01-01,12.34
1983-02-01,13.98
1983-03-01,10.64
1983-04-01,11.61
1983-05-01,12.92
1983-06-01,11.74
1983-07-01,12.03
1983-08-01,12.06
1983-09-01,11.96
1983-10-01,9.89
1983-11-01,8.81
1983-12-01,9.15
1984-01-01,8.25
1984-02-01,9.12
1984-03-01,9.65
1984-04-01,9.25
1984-05-01,8.97
1984-06-01,8.77
1984-07-01,7.46
1984-08-01,7.6
1984-09-01,7.25
1984-10-01,7.29
1984-11-01,7.49
1984-12-01,6.64
1985-01-01,6.1
1985-02-01,6.06
1985-03-01,5.99
1985-04-01,6.44
1985-05-01,6.27
1985-06-01,6.18
1985-07-01,6.0
1985-08-01,6.15
1985-09-01,6.05
1985-10-01,6.18
1985-11-01,6.1
1985-12-01,5.85
1986-01-01,6.02
1986-02-01,5.86
1986-03-01,5.62
1986-04-01,5.19
1986-05-01,5.07
1986-06-01,5.13
1986-07-01,5.03
1986-08-01,5.18
1986-09-01,5.63
1986-10-01,5.64
1986-11-01,5.55
1986-12-01,5.35
1987-01-01,5.51
1987-02-01,5.48
1987-03-01,5.66
1987-04-01,7.35
1987-05-01,8.46
1987-06-01,7.42
1987-07-01,7.61
1987-08-01,7.84
1987-09-01,7.61
1987-10-01,7.61
1987-11-01,6.76
1987-12-01,6.81
1988-01-01,6.74
1988-02-01,6.34
1988-03-01,6.41
1988-04-01,6.48
1988-05-01,6.54
1988-06-01,7.02
1988-07-01,7.04
1988-08-01,6.71
1988-09-01,6.38
1988-10-01,6.28
1988-11-01,6.29
1988-12-01,6.12
1989-01-01,6.0
1989-02-01,5.88
1989-03-01,5.96
1989-04-01,5.79
1989-05-01,5.45
1989-06-01,5.27
1989-07-01,5.22
1989-08-01,5.18
1989-09-01,5.13
1989-10-01,5.14
1989-11-01,5.48
1989-12-01,5.57
1990-01-01,5.25
1990-02-01,5.29
1990-03-01,5.08
1990-04-01,5.07
1990-05-01,5.08
1990-06-01,4.92
1990-07-01,4.87
1990-08-01,5.01
1990-09-01,4.8
1990-10-01,4.39
1990-11-01,4.17
1990-12-01,4.08
1991-01-01,4.05
1991-02-01,3.74
1991-03-01,3.94
1991-04-01,3.98
1991-05-01,4.05
1991-06-01,4.39
1991-07-01,4.35
1991-08-01,3.96
1991-09-01,4.04
1991-10-01,4.12
1991-11-01,4.07
1991-12-01,3.94
1992-01-01,4.11
1992-02-01,4.15
1992-03-01,4.11
1992-04-01,4.05
1992-05-01,4.07
1992-06-01,4.06
1992-07-01,3.97
1992-08-01,3.81
1992-09-01,3.77
1992-10-01,3.75
1992-11-01,3.77
1992-12-01,3.73
1993-01-01,3.68
1993-02-01,3.66
1993-03-01,3.65
1993-04-01,3.95
1993-05-01,4.46
1993-06-01,4.38
1993-07-01,5.02
1993-08-01,4.84
1993-09-01,4.22
1993-10-01,4.34
1993-11-01,4.53
1993-12-01,4.97
1994-01-01,5.15
1994-02-01,5.25
1994-03-01,5.43
1994-04-01,5.35
1994-05-01,5.42
1994-06-01,5.39
1994-07-01,5.28
1994-08-01,5.2
1994-09-01,5.52
